basin_id,Area_km,Elev_mean_m,Elev_min_m,Elev_max_m,Relief_m
10032000,423.917431,2519.483759,2043,3283,1240
10137500,356.3355471,2199.531834,1578,2788,1210
10174500,724.0698453,2535.899754,2094,3447,1353
10259000,22.57046671,1365.485964,256,2568,2312
10263000,4087.540938,961.4932547,431,2595,2164
10263500,59.4236688,1935.70792,1238,2862,1624
10293000,930.4506529,2514.512497,1958,3774,1816
10312000,2779.501389,1960.198226,1271,3490,2219
10315500,999.1353161,2013.619434,1678,3224,1546
10316500,64.81209068,2731.714034,1912,3457,1545
10329500,454.3327657,1894.033793,1418,2926,1508
10337500,1324.995703,2126.265495,1895,3313,1418
10344400,377.9262576,2081.194994,1710,2784,1074
10346000,2424.435179,2102.695984,1568,3314,1746
11012500,217.5068074,996.7763043,666,1403,737
11043000,573.6236258,520.9745955,296,1393,1097
11046000,1834.619811,708.9657754,22,2077,2055
11051500,543.4041268,2072.787469,591,3482,2891
11051501,543.4041268,2072.787469,591,3482,2891
11055800,50.63963495,1194.25948,482,1967,1485
11063680,14.48610922,1160.084913,630,1640,1010
11113500,99.66548584,1024.47778,235,2042,1807
11119500,34.03915325,583.1981239,39,1425,1386
11124500,191.5220454,1023.822215,242,2005,1763
11140000,1220.700835,808.4085738,113,2078,1965
11152500,10462.28891,464.7448565,7,1790,1783
11156500,644.0387541,830.7009961,285,1599,1314
11160500,274.8953226,366.8362756,72,985,913
11169500,23.00662454,544.0277381,152,985,833
11182500,15.21874521,351.9845386,171,617,446
11186001,2191.558303,2632.350413,1102,4412,3310
11208000,132.6741969,2404.220636,667,3494,2827
11230500,135.7103628,3245.245661,2249,4186,1937
11237500,60.32199897,2440.413535,2141,3011,870
11266500,834.0199639,2577.256491,1178,3985,2807
11274500,349.5059392,474.0846532,61,1159,1098
11292000,123.257074,2726.772731,1944,3520,1576
11296500,116.5247303,2410.932962,1596,3014,1418
11315000,54.40739252,2256.811054,1807,2842,1035
11318500,194.140951,1249.252875,599,2113,1514
11325000,1.381071777,12.55478903,12,13,1
11335000,1385.722099,933.2646915,53,2358,2305
11368000,1514.943821,1312.805767,347,4310,3963
11374000,1094.86197,685.5058687,116,2150,2034
11413000,647.6332624,1731.560485,751,2608,1857
11439500,499.0389464,2163.575545,1169,3162,1993
11439501,499.0389464,2163.575545,1169,3162,1993
11468500,273.5268286,279.7033134,8,978,970
11476500,1390.544147,525.836293,67,1288,1221
11520500,21167.09784,1415.481512,-90,3750,3840
11522500,1943.968957,1298.874774,147,2715,2568
11532500,1584.680197,768.5044729,26,1938,1912
12010000,142.4994662,290.6565798,8,823,815
12020000,294.3960774,393.5903369,97,954,857
12025000,400.5607503,297.7833505,60,1165,1105
12048000,404.7048548,1269.116194,172,2372,2200
12056500,147.0091143,991.152693,231,1960,1729
12115000,106.153415,1003.428767,476,1660,1184
12115500,34.77845166,995.3458883,521,1446,925
12134500,1384.481011,1050.156655,64,2427,2363
12143700,3.4741141,480.8794808,316,819,503
12167000,699.7074313,650.6045131,31,2087,2056
12189500,1856.176929,1150.210904,82,3213,3131
12329500,519.1705685,1909.839879,1471,3008,1537
12431000,1681.80116,730.0388605,485,1783,1298
12459000,2589.253183,1288.361515,315,2864,2549
13082500,1634.539112,1841.652289,1441,2613,1172
13112000,958.7546226,1981.867862,1464,3013,1549
13148500,801.5855348,2100.176236,1513,3604,2091
13181000,19316.69457,1681.606189,1023,3184,2161
13185000,2153.679679,1956.039047,997,3240,2243
13200000,1028.345284,1545.778335,938,2477,1539
13235000,1156.475242,2078.676222,1148,3254,2106
13246000,2392.491679,1769.72264,942,2757,1815
